[Connect DataFile][2.1]
Date:	20/04/2026
Time:	11:08:39
Unit:	°C
Resolution:	60,000/0,100
Values:	12
SnapshotTrigger:	0	0,0
MeasurementTrigger:	0	0,0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00,000	-36,6	24,9	25,0	-36,6	0,0	0,0	0,0	0,950	0,000	5028,278	0,0	-36,2		11:08:39:644		
000:01:00,000	-36,4	24,7	24,7	-36,4	0,0	0,0	0,0	0,950	0,000	5029,009	0,0	-36,1		11:09:39:644		
000:02:00,000	-40,5	24,3	24,4	-40,5	0,0	0,0	0,0	0,950	0,000	5028,000	0,0	-40,0		11:10:39:644		
000:03:00,000	-40,6	24,0	24,0	-40,6	0,0	0,0	0,0	0,950	0,000	5025,385	0,0	-40,5		11:11:39:644		
000:04:00,000	-37,7	24,1	23,9	-37,7	0,0	0,0	0,0	0,950	0,000	5025,458	0,0	-37,5		11:12:39:644		
000:05:00,000	-40,3	24,0	23,9	-40,3	0,0	0,0	0,0	0,950	0,000	5023,954	0,0	-40,2		11:13:39:644		
000:06:00,000	-41,0	23,2	23,4	-41,0	0,0	0,0	0,0	0,950	0,000	5021,262	0,0	-41,0		11:14:39:644		
000:07:00,000	-40,8	22,7	22,9	-40,8	0,0	0,0	0,0	0,950	0,000	5021,028	0,0	-40,5		11:15:39:644		
000:08:00,000	-40,5	22,6	22,6	-40,5	0,0	0,0	0,0	0,950	0,000	5024,037	0,0	-40,4		11:16:39:644		
000:09:00,000	-40,9	23,2	22,7	-40,9	0,0	0,0	0,0	0,950	0,000	5026,019	0,0	-40,7		11:17:39:644		
---------------------------------
End of File
