[Connect DataFile][2.1]
Date:	20/04/2026
Time:	11:19:49
Unit:	°C
Resolution:	60,000/0,100
Values:	12
SnapshotTrigger:	0	0,0
MeasurementTrigger:	0	0,0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00,000	-41,1	25,0	24,1	-41,1	0,0	0,0	0,0	0,950	0,000	5027,907	0,0	-40,9		11:19:49:473		
000:01:00,000	-41,3	25,3	24,4	-41,3	0,0	0,0	0,0	0,950	0,000	5026,463	0,0	-40,8		11:20:49:473		
000:02:00,000	-41,2	25,3	24,6	-41,2	0,0	0,0	0,0	0,950	0,000	5027,537	0,0	-40,8		11:21:49:473		
000:03:00,000	-41,9	25,6	24,8	-41,9	0,0	0,0	0,0	0,950	0,000	5028,220	0,0	-41,8		11:22:49:473		
000:04:00,000	-41,6	25,9	25,1	-41,6	0,0	0,0	0,0	0,950	0,000	5026,546	0,0	-41,6		11:23:49:473		
000:05:00,000	-40,6	25,6	25,3	-40,6	0,0	0,0	0,0	0,950	0,000	5022,639	0,0	-40,4		11:24:49:473		
000:06:00,000	-41,0	24,7	25,0	-41,0	0,0	0,0	0,0	0,950	0,000	5026,556	0,0	-40,9		11:25:49:473		
000:07:00,000	-41,1	24,0	24,3	-41,1	0,0	0,0	0,0	0,950	0,000	5022,417	0,0	-41,0		11:26:49:473		
000:08:00,000	-40,7	23,7	23,9	-40,8	0,0	0,0	0,0	0,950	0,000	5020,648	0,0	-40,5		11:27:49:473		
000:09:00,000	-40,4	23,7	23,8	-40,4	0,0	0,0	0,0	0,950	0,000	5019,981	0,0	-40,1		11:28:49:473		
000:10:00,000	-40,4	23,8	23,8	-40,4	0,0	0,0	0,0	0,950	0,000	5021,259	0,0	-40,3		11:29:49:473		
000:11:00,000	-40,2	24,2	23,8	-40,1	0,0	0,0	0,0	0,950	0,000	5019,824	0,0	-40,1		11:30:49:473		
000:12:00,000	-39,6	24,1	23,8	-39,6	0,0	0,0	0,0	0,950	0,000	5019,129	0,0	-39,4		11:31:49:473		
000:13:00,000	-37,3	24,1	23,8	-37,3	0,0	0,0	0,0	0,950	0,000	5019,290	0,0	-37,2		11:32:49:473		
000:14:00,000	-9,0	24,5	24,0	-9,0	0,0	0,0	0,0	0,950	0,000	5020,269	0,0	-8,7		11:33:49:473		
000:15:00,000	-4,4	25,2	24,5	-4,4	0,0	0,0	0,0	0,950	0,000	5020,898	0,0	-4,3		11:34:49:473		
000:16:00,000	-32,3	25,0	24,6	-32,3	0,0	0,0	0,0	0,950	0,000	5020,806	0,0	-32,4		11:35:49:473		
000:17:00,000	-39,5	24,9	24,6	-39,5	0,0	0,0	0,0	0,950	0,000	5020,565	0,0	-39,4		11:36:49:473		
000:18:00,000	-40,4	24,9	24,6	-40,4	0,0	0,0	0,0	0,950	0,000	5020,667	0,0	-40,2		11:37:49:473		
