[Connect DataFile][2.1]
Date:	20/04/2026
Time:	16:59:18
Unit:	°C
Resolution:	60,000/0,100
Values:	12
SnapshotTrigger:	0	0,0
MeasurementTrigger:	0	0,0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00,000	-36,0	27,0	26,4	-36,0	0,0	0,0	0,0	0,950	0,000	5042,200	0,0	-35,8		16:59:18:736		
000:01:00,000	-36,7	27,3	26,8	-36,8	0,0	0,0	0,0	0,950	0,000	5043,589	0,0	-36,5		17:00:18:736		
000:02:00,000	-37,8	27,7	27,3	-37,9	0,0	0,0	0,0	0,950	0,000	5030,509	0,0	-37,6		17:01:18:736		
000:03:00,000	-39,2	27,8	27,7	-39,2	0,0	0,0	0,0	0,950	0,000	5028,202	0,0	-39,2		17:02:18:736		
000:04:00,000	-41,2	26,5	27,1	-41,1	0,0	0,0	0,0	0,950	0,000	5026,667	0,0	-41,1		17:03:18:736		
000:05:00,000	-40,0	25,8	26,3	-40,0	0,0	0,0	0,0	0,950	0,000	5024,147	0,0	-40,1		17:04:18:736		
000:06:00,000	-39,0	25,6	26,0	-39,0	0,0	0,0	0,0	0,950	0,000	5024,639	0,0	-38,9		17:05:18:736		
000:07:00,000	-39,0	25,5	26,0	-39,0	0,0	0,0	0,0	0,950	0,000	5022,852	0,0	-38,8		17:06:18:736		
000:08:00,000	-38,7	25,1	25,6	-38,7	0,0	0,0	0,0	0,950	0,000	5024,287	0,0	-38,6		17:07:18:736		
000:09:00,000	-38,2	25,1	25,5	-38,2	0,0	0,0	0,0	0,950	0,000	5022,229	0,0	-38,1		17:08:18:736		
000:10:00,000	-37,8	25,3	25,5	-37,8	0,0	0,0	0,0	0,950	0,000	5023,813	0,0	-37,7		17:09:18:736		
000:11:00,000	-37,4	25,3	25,5	-37,4	0,0	0,0	0,0	0,950	0,000	5023,404	0,0	-37,3		17:10:18:736		
000:12:00,000	-36,7	25,5	25,5	-36,7	0,0	0,0	0,0	0,950	0,000	5023,537	0,0	-36,7		17:11:18:736		
000:13:00,000	-37,0	25,7	25,5	-36,9	0,0	0,0	0,0	0,950	0,000	5024,009	0,0	-36,6		17:12:18:736		
000:14:00,000	-37,0	25,8	25,5	-37,0	0,0	0,0	0,0	0,950	0,000	5023,824	0,0	-37,0		17:13:18:736		
000:15:00,000	-37,3	26,2	25,8	-37,3	0,0	0,0	0,0	0,950	0,000	5023,064	0,0	-37,1		17:14:18:736		
000:16:00,000	-38,0	26,4	26,1	-38,0	0,0	0,0	0,0	0,950	0,000	5023,833	0,0	-37,9		17:15:18:736		
000:17:00,000	-37,4	26,1	26,2	-37,4	0,0	0,0	0,0	0,950	0,000	5023,435	0,0	-37,2		17:16:18:736		
000:18:00,000	-35,6	25,5	26,0	-35,6	0,0	0,0	0,0	0,950	0,000	5023,019	0,0	-35,4		17:17:18:736		
000:19:00,000	-34,9	25,0	25,5	-34,9	0,0	0,0	0,0	0,950	0,000	5022,853	0,0	-34,9		17:18:18:736		
000:20:00,000	-23,9	24,9	25,2	-23,9	0,0	0,0	0,0	0,950	0,000	5023,602	0,0	-23,9		17:19:18:736		
000:21:00,000	-17,2	24,7	25,1	-17,2	0,0	0,0	0,0	0,950	0,000	5021,963	0,0	-17,1		17:20:18:736		
000:22:00,000	-30,6	24,6	24,9	-30,6	0,0	0,0	0,0	0,950	0,000	5021,519	0,0	-30,3		17:21:18:736		
