[Connect DataFile][2.1]
Date:	22/04/2026
Time:	11:09:17
Unit:	°C
Resolution:	60,000/0,100
Values:	12
SnapshotTrigger:	0	0,0
MeasurementTrigger:	0	0,0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00,000	1,5	17,6	17,1	1,5	0,0	0,0	0,0	0,950	0,000	4835,963	0,0	1,5		11:09:17:689		
000:01:00,000	0,1	17,6	17,5	0,1	0,0	0,0	0,0	0,950	0,000	5015,944	0,0	0,3		11:10:17:689		
000:02:00,000	-1,5	17,4	17,6	-1,4	0,0	0,0	0,0	0,950	0,000	5015,287	0,0	-1,4		11:11:17:689		
000:03:00,000	-1,6	17,1	17,6	-1,6	0,0	0,0	0,0	0,950	0,000	5015,852	0,0	-1,5		11:12:17:689		
000:04:00,000	0,3	17,0	17,6	0,3	0,0	0,0	0,0	0,950	0,000	5014,731	0,0	0,4		11:13:17:689		
000:05:00,000	-0,7	17,1	17,6	-0,7	0,0	0,0	0,0	0,950	0,000	5014,481	0,0	-0,7		11:14:17:689		
000:06:00,000	-3,3	17,6	17,6	-3,3	0,0	0,0	0,0	0,950	0,000	5015,841	0,0	-3,2		11:15:17:689		
000:07:00,000	-7,9	18,8	18,2	-7,9	0,0	0,0	0,0	0,950	0,000	5017,824	0,0	-7,9		11:16:17:689		
000:08:00,000	-1,1	19,8	19,0	-1,1	0,0	0,0	0,0	0,950	0,000	5020,083	0,0	-1,0		11:17:17:689		
000:09:00,000	-15,1	20,5	19,7	-15,1	0,0	0,0	0,0	0,950	0,000	5018,546	0,0	-15,1		11:18:17:689		
000:10:00,000	-9,5	20,6	20,1	-9,5	0,0	0,0	0,0	0,950	0,000	5019,131	0,0	-9,4		11:19:17:689		
000:11:00,000	3,0	19,7	20,2	3,0	0,0	0,0	0,0	0,950	0,000	5018,704	0,0	3,0		11:20:17:689		
000:12:00,000	4,7	19,1	19,8	4,7	0,0	0,0	0,0	0,950	0,000	5017,917	0,0	4,7		11:21:17:689		
000:13:00,000	-1,5	17,9	18,9	-1,5	0,0	0,0	0,0	0,950	0,000	5016,917	0,0	-1,6		11:22:17:689		
000:14:00,000	-7,7	18,2	18,5	-7,7	0,0	0,0	0,0	0,950	0,000	5014,926	0,0	-7,6		11:23:17:689		
000:15:00,000	-3,9	19,6	18,9	-3,9	0,0	0,0	0,0	0,950	0,000	5014,138	0,0	-3,8		11:24:17:689		
000:16:00,000	-5,3	19,9	19,4	-5,3	0,0	0,0	0,0	0,950	0,000	5015,546	0,0	-5,4		11:25:17:689		
000:17:00,000	-8,0	19,3	19,4	-7,9	0,0	0,0	0,0	0,950	0,000	5013,861	0,0	-7,7		11:26:17:689		
000:18:00,000	1,1	19,3	19,4	1,2	0,0	0,0	0,0	0,950	0,000	5014,037	0,0	1,4		11:27:17:689		
000:19:00,000	4,9	20,5	19,8	4,9	0,0	0,0	0,0	0,950	0,000	5014,722	0,0	4,9		11:28:17:689		
000:20:00,000	-13,2	22,0	20,8	-13,2	0,0	0,0	0,0	0,950	0,000	5015,676	0,0	-13,1		11:29:17:689		
000:21:00,000	-13,5	20,6	20,8	-13,4	0,0	0,0	0,0	0,950	0,000	5015,176	0,0	-13,4		11:30:17:689		
000:22:00,000	-4,4	20,2	20,1	-4,4	0,0	0,0	0,0	0,950	0,000	5014,083	0,0	-4,3		11:31:17:689		
000:23:00,000	-13,7	20,5	20,3	-13,7	0,0	0,0	0,0	0,950	0,000	5015,074	0,0	-13,5		11:32:17:689		
000:24:00,000	-1,2	19,4	20,3	-1,2	0,0	0,0	0,0	0,950	0,000	5014,389	0,0	-1,1		11:33:17:689		
000:25:00,000	4,8	19,1	20,0	4,8	0,0	0,0	0,0	0,950	0,000	5013,806	0,0	4,8		11:34:17:689		
000:26:00,000	4,6	18,5	19,6	4,6	0,0	0,0	0,0	0,950	0,000	5014,101	0,0	4,6		11:35:17:689		
000:27:00,000	3,3	17,9	19,0	3,3	0,0	0,0	0,0	0,950	0,000	5013,121	0,0	3,5		11:36:17:689		
000:28:00,000	4,0	17,7	18,7	4,0	0,0	0,0	0,0	0,950	0,000	5015,472	0,0	4,1		11:37:17:689		
000:29:00,000	4,4	17,4	18,4	4,4	0,0	0,0	0,0	0,950	0,000	5011,907	0,0	4,5		11:38:17:689		
000:30:00,000	3,3	17,3	18,2	3,3	0,0	0,0	0,0	0,950	0,000	5011,389	0,0	3,3		11:39:17:689		
000:31:00,000	4,7	16,9	17,8	4,7	0,0	0,0	0,0	0,950	0,000	5011,211	0,0	4,7		11:40:17:689		
000:32:00,000	5,3	17,0	17,7	5,3	0,0	0,0	0,0	0,950	0,000	5012,841	0,0	5,4		11:41:17:689		
---------------------------------
End of File
