[Connect DataFile][2.1]
Date:	22/04/2026
Time:	17:58:35
Unit:	°C
Resolution:	60,000/0,100
Values:	12
SnapshotTrigger:	0	0,0
MeasurementTrigger:	0	0,0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00,000	-2,1	19,0	18,8	-2,1	0,0	0,0	0,0	0,950	0,000	4836,204	0,0	-1,9		17:58:35:680		
000:01:00,000	1,7	19,2	19,1	1,7	0,0	0,0	0,0	0,950	0,000	5015,917	0,0	1,8		17:59:35:680		
000:02:00,000	1,2	19,6	19,6	1,2	0,0	0,0	0,0	0,950	0,000	5016,593	0,0	1,3		18:00:35:680		
000:03:00,000	5,8	20,1	20,0	5,9	0,0	0,0	0,0	0,950	0,000	5015,583	0,0	5,9		18:01:35:680		
000:04:00,000	6,8	21,1	20,8	6,8	0,0	0,0	0,0	0,950	0,000	5016,278	0,0	6,9		18:02:35:680		
000:05:00,000	6,1	21,5	21,3	6,1	0,0	0,0	0,0	0,950	0,000	5016,629	0,0	6,2		18:03:35:680		
000:06:00,000	4,6	21,0	21,4	4,6	0,0	0,0	0,0	0,950	0,000	5022,963	0,0	4,7		18:04:35:680		
000:07:00,000	4,3	20,8	21,4	4,3	0,0	0,0	0,0	0,950	0,000	5018,537	0,0	4,4		18:05:35:680		
000:08:00,000	4,0	21,0	21,4	4,1	0,0	0,0	0,0	0,950	0,000	5015,537	0,0	4,1		18:06:35:680		
000:09:00,000	3,5	21,4	21,4	3,5	0,0	0,0	0,0	0,950	0,000	5018,611	0,0	3,6		18:07:35:680		
000:10:00,000	2,3	22,0	21,7	2,3	0,0	0,0	0,0	0,950	0,000	5021,231	0,0	2,4		18:08:35:680		
000:11:00,000	3,1	21,9	21,9	3,1	0,0	0,0	0,0	0,950	0,000	5021,685	0,0	3,0		18:09:35:680		
000:12:00,000	3,7	21,3	21,9	3,7	0,0	0,0	0,0	0,950	0,000	5022,651	0,0	3,8		18:10:35:680		
000:13:00,000	3,6	21,5	21,8	3,6	0,0	0,0	0,0	0,950	0,000	5021,250	0,0	3,8		18:11:35:680		
000:14:00,000	4,1	22,3	22,0	4,1	0,0	0,0	0,0	0,950	0,000	5021,528	0,0	4,2		18:12:35:680		
000:15:00,000	3,9	22,9	22,5	3,9	0,0	0,0	0,0	0,950	0,000	5018,046	0,0	4,0		18:13:35:680		
000:16:00,000	3,9	23,3	22,9	4,0	0,0	0,0	0,0	0,950	0,000	5017,694	0,0	4,0		18:14:35:680		
000:17:00,000	4,0	22,8	23,0	4,0	0,0	0,0	0,0	0,950	0,000	5017,787	0,0	4,1		18:15:35:680		
000:18:00,000	3,7	22,2	22,7	3,7	0,0	0,0	0,0	0,950	0,000	5017,676	0,0	3,8		18:16:35:680		
000:19:00,000	3,0	21,7	22,2	3,0	0,0	0,0	0,0	0,950	0,000	5017,633	0,0	3,1		18:17:35:680		
000:20:00,000	2,8	20,7	21,3	2,8	0,0	0,0	0,0	0,950	0,000	5019,435	0,0	2,9		18:18:35:680		
000:21:00,000	3,2	20,3	20,9	3,2	0,0	0,0	0,0	0,950	0,000	5024,074	0,0	3,3		18:19:35:680		
000:22:00,000	3,6	20,2	20,8	3,6	0,0	0,0	0,0	0,950	0,000	5025,248	0,0	3,7		18:20:35:680		
000:23:00,000	4,0	20,9	20,9	4,0	0,0	0,0	0,0	0,950	0,000	5023,056	0,0	4,1		18:21:35:680		
