[Connect DataFile][2.1]
Date:	28/04/2026
Time:	12:14:33
Unit:	°C
Resolution:	60,000/0,100
Values:	12
SnapshotTrigger:	0	0,0
MeasurementTrigger:	0	0,0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00,000	4,8	23,2	23,3	4,9	0,0	0,0	0,0	0,950	0,000	5020,481	0,0	5,0		12:14:33:668		
000:01:00,000	2,8	22,9	23,3	2,8	0,0	0,0	0,0	0,950	0,000	5018,729	0,0	2,9		12:15:33:668		
000:02:00,000	-1,1	22,7	23,2	-1,1	0,0	0,0	0,0	0,950	0,000	5019,481	0,0	-1,0		12:16:33:668		
000:03:00,000	-16,8	23,1	23,2	-16,8	0,0	0,0	0,0	0,950	0,000	5019,701	0,0	-16,7		12:17:33:668		
000:04:00,000	-11,8	23,5	23,2	-11,8	0,0	0,0	0,0	0,950	0,000	5020,259	0,0	-11,7		12:18:33:668		
000:05:00,000	5,1	23,9	23,6	5,2	0,0	0,0	0,0	0,950	0,000	5028,056	0,0	5,2		12:19:33:668		
000:06:00,000	7,4	23,9	23,6	7,4	0,0	0,0	0,0	0,950	0,000	5028,000	0,0	7,5		12:20:33:668		
000:07:00,000	7,1	24,3	23,9	7,1	0,0	0,0	0,0	0,950	0,000	5023,574	0,0	7,2		12:21:33:668		
000:08:00,000	7,1	24,7	24,3	7,1	0,0	0,0	0,0	0,950	0,000	5021,537	0,0	7,2		12:22:33:668		
000:09:00,000	5,9	25,3	24,6	5,9	0,0	0,0	0,0	0,950	0,000	5022,398	0,0	6,0		12:23:33:668		
000:10:00,000	-3,6	25,6	25,1	-3,6	0,0	0,0	0,0	0,950	0,000	5022,626	0,0	-3,5		12:24:33:668		
000:11:00,000	2,5	25,4	25,2	2,5	0,0	0,0	0,0	0,950	0,000	5022,444	0,0	2,7		12:25:33:668		
000:12:00,000	6,6	24,6	25,0	6,6	0,0	0,0	0,0	0,950	0,000	5021,602	0,0	6,7		12:26:33:668		
000:13:00,000	6,0	24,2	24,5	6,0	0,0	0,0	0,0	0,950	0,000	5021,361	0,0	6,0		12:27:33:668		
000:14:00,000	4,6	24,7	24,5	4,6	0,0	0,0	0,0	0,950	0,000	5023,766	0,0	4,7		12:28:33:668		
000:15:00,000	-4,8	25,0	24,6	-4,8	0,0	0,0	0,0	0,950	0,000	5021,879	0,0	-4,7		12:29:33:668		
000:16:00,000	-11,5	25,2	24,7	-11,4	0,0	0,0	0,0	0,950	0,000	5020,458	0,0	-11,4		12:30:33:668		
000:17:00,000	-13,0	25,7	25,0	-13,0	0,0	0,0	0,0	0,950	0,000	5022,129	0,0	-12,8		12:31:33:668		
000:18:00,000	-10,6	25,6	25,3	-10,6	0,0	0,0	0,0	0,950	0,000	5022,000	0,0	-10,4		12:32:33:668		
000:19:00,000	-2,6	24,9	25,1	-2,6	0,0	0,0	0,0	0,950	0,000	5021,843	0,0	-2,5		12:33:33:668		
000:20:00,000	-10,7	24,6	24,7	-10,7	0,0	0,0	0,0	0,950	0,000	5020,259	0,0	-10,4		12:34:33:668		
000:21:00,000	-8,5	25,1	24,7	-8,5	0,0	0,0	0,0	0,950	0,000	5021,787	0,0	-8,3		12:35:33:668		
000:22:00,000	-1,6	26,5	25,4	-1,6	0,0	0,0	0,0	0,950	0,000	5021,729	0,0	-1,4		12:36:33:668		
000:23:00,000	-1,5	27,2	26,2	-1,5	0,0	0,0	0,0	0,950	0,000	5023,963	0,0	-1,4		12:37:33:668		
000:24:00,000	-6,6	27,3	26,6	-6,6	0,0	0,0	0,0	0,950	0,000	5023,463	0,0	-6,4		12:38:33:668		
000:25:00,000	0,4	27,6	27,0	0,4	0,0	0,0	0,0	0,950	0,000	5023,889	0,0	0,5		12:39:33:668		
000:26:00,000	1,2	27,9	27,2	1,2	0,0	0,0	0,0	0,950	0,000	5024,296	0,0	1,2		12:40:33:668		
000:27:00,000	-4,5	27,9	27,3	-4,5	0,0	0,0	0,0	0,950	0,000	5024,241	0,0	-4,3		12:41:33:668		
000:28:00,000	-5,2	27,9	27,3	-5,2	0,0	0,0	0,0	0,950	0,000	5024,519	0,0	-5,2		12:42:33:668		
000:29:00,000	-10,5	27,1	27,3	-10,5	0,0	0,0	0,0	0,950	0,000	5025,139	0,0	-10,5		12:43:33:668		
000:30:00,000	-18,5	25,9	26,6	-18,5	0,0	0,0	0,0	0,950	0,000	5023,796	0,0	-18,3		12:44:33:668		
000:31:00,000	-18,5	25,6	26,0	-18,5	0,0	0,0	0,0	0,950	0,000	5021,926	0,0	-18,3		12:45:33:668		
000:32:00,000	-20,3	26,2	25,9	-20,3	0,0	0,0	0,0	0,950	0,000	5023,224	0,0	-20,1		12:46:33:668		
000:33:00,000	-21,5	26,9	26,1	-21,5	0,0	0,0	0,0	0,950	0,000	5023,379	0,0	-21,3		12:47:33:668		
000:34:00,000	-21,3	28,1	27,1	-21,3	0,0	0,0	0,0	0,950	0,000	5023,704	0,0	-21,1		12:48:33:668		
000:35:00,000	-21,5	28,3	27,7	-21,5	0,0	0,0	0,0	0,950	0,000	5024,537	0,0	-21,7		12:49:33:668		
000:36:00,000	-22,4	27,5	27,5	-22,4	0,0	0,0	0,0	0,950	0,000	5024,111	0,0	-22,2		12:50:33:668		
000:37:00,000	-26,4	27,5	27,3	-26,4	0,0	0,0	0,0	0,950	0,000	5024,417	0,0	-26,2		12:51:33:668		
000:38:00,000	-28,3	28,2	27,7	-28,3	0,0	0,0	0,0	0,950	0,000	5024,778	0,0	-28,2		12:52:33:668		
000:39:00,000	-28,8	28,1	27,9	-28,8	0,0	0,0	0,0	0,950	0,000	5026,084	0,0	-28,7		12:53:33:668		
